cod_ibge,E,X,M,IRBI,PH_x,PH_y,Ph_x,Ph_y,R_x,R_y,Angulo,Odu,Theta,S_m,S_potencial,S_dispersiva,Regime
1100015,0.0009498655372387083,0.5,0.0,0.17537994621489547,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100023,0.004004900111236566,0.5,0.0,0.1766019600444946,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100031,0.00028412915176144455,0.5,0.0,0.17511365166070456,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100049,0.003355942003316297,0.5,0.0,0.1763423768013265,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100056,0.0009325058185213356,0.5,0.0,0.17537300232740852,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100064,0.000521395203162228,0.5,0.0,0.17520855808126487,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100072,0.0004787131933275525,0.5,0.0,0.175191485277331,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100080,0.00034757283968457283,0.5,0.0,0.1751390291358738,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100098,0.0009518339798580219,0.5,0.0,0.1753807335919432,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100106,0.001096138161371943,0.5,0.0,0.17543845526454876,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100114,0.002212116152301704,0.5,0.0,0.17588484646092067,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100122,0.005194398693981666,0.5,0.0,0.17707775947759266,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100130,0.0009387726970644563,0.5,0.0,0.17537550907882576,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100148,0.0006563106956846753,0.5,0.0,0.17526252427827385,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100155,0.0011294378252096216,0.5,0.0,0.17545177513008384,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100189,0.0017901854455308485,0.5,0.0,0.17571607417821233,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100205,0.02380368838045818,0.5,0.0,0.18452147535218327,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100254,0.0006684871307487213,0.5,0.0,0.17526739485229947,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100262,0.00025862819963304404,0.5,0.0,0.17510345127985322,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100288,0.001993251127878241,0.5,0.0,0.17579730045115127,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100296,0.0002550148071127359,0.5,0.0,0.17510200592284508,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100304,0.004751010694061397,0.5,0.0,0.17690040427762455,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100320,0.0014408429103872366,0.5,0.0,0.17557633716415488,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100338,0.0009597204363242297,0.5,0.0,0.17538388817452968,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100346,0.0004377522493275937,0.5,0.0,0.17517510089973104,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100379,0.0005807455453163004,0.5,0.0,0.1752322982181265,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100403,0.0006180180380279751,0.5,0.0,0.17524720721521117,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100452,0.001145335483700082,0.5,0.0,0.17545813419348003,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100502,0.0002620132443521858,0.5,0.0,0.17510480529774086,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100601,0.00020966451093480182,0.5,0.0,0.1750838658043739,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100700,0.00039942153370403237,0.5,0.0,0.1751597686134816,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100809,0.0008145345785780278,0.5,0.0,0.1753258138314312,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100908,0.00010662045132699751,0.5,0.0,0.17504264818053078,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100924,0.0006531772564131149,0.5,0.0,0.17526127090256524,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1100940,0.0005265932871360007,0.5,0.0,0.1752106373148544,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101005,0.000277449978577329,0.5,0.0,0.1751109799914309,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101104,0.0002843236702587344,0.5,0.0,0.1751137294681035,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101203,0.00041596512046538465,0.5,0.0,0.17516638604818613,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101302,0.00030592685228111497,0.5,0.0,0.17512237074091244,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101401,0.00045661208623873974,0.5,0.0,0.17518264483449547,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101435,0.0001555312817379327,0.5,0.0,0.17506221251269516,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101450,0.00015123284581412553,0.5,0.0,0.17506049313832564,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1101468,0.0003235244332913693,0.5,0.0,0.17512940977331654,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
